BRL=X
BOVA11.SA
PETR4.SA
VALE3.SA
ITUB4.SA
CSNA3.SA
BBAS3.SA
WEGE3.SA
B3SA3.SA
JBSS3.SA
ITSA4.SA
CMIG4.SA
SBSP3.SA
CCRO3.SA
UGPA3.SA
MULT3.SA
LEVE3.SA
KEPL3.SA
KLBN11.SA
POMO4.SA
EQTL3.SA
LREN3.SA
EGIE3.SA
ABEV3.SA
SUZB3.SA
^GSPC
BTC-USD
ETH-USD
GBPUSD=X
EURUSD=X
